headword	orig order	re1	re2
im falschen Film sein	1225	im falschen Film + SEIN	
im falschen Zug sitzen	1226	im falschen Zug + SITZEN	
im Ganzen	1227	im Ganzen	
im Geld schwimmen	1228	im Geld + SCHWIMMEN	
im gleichen Boot sitzen	1229	im gleichen Boot + SITZEN	
im großen Stil	1230	im großen Stil	
im Großen und Ganzen	1231	im Großen und Ganzen	
im Handumdrehen	1232	im Handumdrehen	
im Krieg bleiben	1233	im Krieg + BLEIBEN	
im Laufe der Zeit	1234	im Laufe der Zeit	
im Lot sein	1235	im Lot + SEIN	
im Munde zergehen lassen	1236	im Munde zergehen + LASSEN	
im Namen	1237	im Namen	
im Namen von	1238	im Namen von	
im Nebel herumstochern	1239	im Nebel + \bherum(\b|s|z|g) + stocher	
im Nebel stochern	1240	im Nebel + stocher	
im Nu	1241	im Nu	
im Sand verlaufen	1242	im Sand + VERLAUFEN	
im Sande verlaufen	1243	im Sande + VERLAUFEN	
im Schlaf	1244	im Schlaf + MANUAL_REVIEW	
im Schweiße seines Angesichts	1245	im Schweiße SEINMNG Angesichts	
im siebten Himmel sein	1246	im siebten Himmel	
im Spiel sein	1247	im Spiel + SEIN	
im Sterben liegen	1248	im Sterben + LIEGEN	
im Trüben fischen	1249	im Trüben + fisch	
im wahrsten Sinne des Wortes	1250	im wahrsten Sinne des Wortes	
im Zeichen von etwas stehen	1251	im Zeichen von + STEHEN	im Zeichen von + SEIN
in Abrahams Wurstkessel	1252	in Abrahams Wurstkessel	
in aller Munde sein	1253	in aller Munde	
in Amt und Würden	1254	Amt und Würden	
in anderen Umständen sein	1255	in anderen Umständen	
in Angst und Schrecken versetzen	1256	Angst und Schrecken + versetz	
in Asche legen	1257	in Asche + LEGEN	
in Bausch und Bogen	1258	in Bausch und Bogen	
in besten Händen sein	1259	in besten Händen	
in Betracht ziehen	1260	in Betracht + ZIEHEN	
in das Reich der Schatten hinabsteigen	1261	in das Reich der Schatten + \bhinab(\b|s|z|g) + _STEIGEN	
in den Arsch gehen	1262	in den Arsch + GEHEN	
in den Arsch kriechen	1263	in den Arsch + KRIECHEN	
in den Boden versinken	1264	in den Boden + VERSINKEN	
in den Clinch gehen	1265	in den Clinch + GEHEN	
in den Clinch nehmen	1266	in den Clinch + NEHMEN	
in den Federn	1267	in den Federn	
in den Hafen der Ehe einlaufen	1268	in den Hafen der Ehe + \bein(\b|l|z|g) + _LAUFEN	
in den Keller gehen, um zu lachen	1269	um zu lachen + in den Keller + GEHEN	
in den letzten Zügen liegen	1270	in den letzten Zügen + LIEGEN	
in den Rücken fallen	1271	in den Rücken + FALLEN	
in den Sand setzen	1272	in den Sand + SETZEN	
in den sauren Apfel beißen	1273	in den sauren Apfel	
in den Schatten stellen	1274	in den Schatten + STELLEN	
in den Seilen hängen	1275	in den Seilen + häng	
in den Startlöchern scharren	1276	in den Startlöchern + scharr	
in den Startlöchern sein	1277	in den Startlöchern + SEIN	
in den Startlöchern sitzen	1278	in den Startlöchern + SITZEN	
in den Startlöchern stehen	1279	in den Startlöchern + STEHEN	
in den Startlöchern warten	1280	in den Startlöchern + warte	
in den Sternen geschrieben stehen	1281	in den Sternen geschrieben + STEHEN	in den Sternen geschrieben + SEIN
in den Sternen stehen	1282	in den Sternen + STEHEN	in den Sternen + SEIN
in der Klemme sitzen	1283	in der Klemme + SITZEN	
in der Klemme stecken	1284	in der Klemme + STECKEN	
in der Kreide stehen	1285	in der Kreide + STEHEN	
in der Lage sein	1286	in der Lage + SEIN	
in der Luft liegen	1287	in der Luft + LIEGEN	
in der Patsche sitzen	1288	in der Patsche + SITZEN	
in der Scheiße sitzen	1289	in der Scheiße + SITZEN	
in der Scheiße stecken	1290	in der Scheiße + STECKEN	
in der Schmiere sitzen	1291	in der Schmiere + SITZEN	
in der Tat	1292	in der Tag	
in der Tinte sitzen	1293	in der Tinte + SITZEN	
in der Versenkung verschwinden	1294	in der Versenkung + \bverschw.nd	
in die Beine gehen	1295	in die Beine + GEHEN	
in die Binsen gehen	1296	in die Binsen + GEHEN	
in die Bredouille bringen	1297	in die Bredouille + BRINGEN	
in die Bresche springen	1298	in die Bresche + SPRINGEN	
in die Brüche gehen	1299	in die Brüche + GEHEN	
in die eigene Tasche wirtschaften	1300	in die eigene Tasche + wirtschafte	
in die Eisen gehen	1301	in die Eisen + GEHEN	
in die ewigen Jagdgründe eingehen	1302	in die ewigen Jagdgründe + \bein(\b|z|g) + _GEHEN	
in die Federn	1303	in die Federn	
in die Hose gehen	1304	in die Hose + GEHEN	
in die Höhle des Löwen gehen	1305	in die Höhle des Löwen + GEHEN	
in die Irre gehen	1306	in die Irre + GEHEN	
in die Luft fliegen	1307	in die Luft + FLIEGEN	
in die Luft jagen	1308	in die Luft + jag	
in die Pilze gehen	1309	in die Pilze + GEHEN	
in die Puschen kommen	1310	in die Puschen + KOMMEN	
in die Steinzeit zurückbomben	1311	in die Steinzeit + \bzurück(\b|b|z|g) + bomb	
in die Suppe schauen mehr Augen hinein als heraus	1312	in die Suppe + mehr Augen + hinein + heraus + SCHAUEN	
in die Trickkiste greifen	1313	in die Trickkiste + GREIFEN	
in ein Wespennest stechen	1314	in ein Wespennest + STECHEN	
in einem Affenzahn	1315	in einem Affenzahn	
in einem fort	1316	in einem fort	
in einem goldenen Käfig sitzen	1317	in einem goldenen Käfig + SITZEN	
in einem Stück	1318	in einem Stück	
in einem Zug	1319	in einem Zug + MANUAL_REVIEW	
in einem Zuge	1320	in einem Zuge	
in etwas zu Hause sein	1321	in + zu Hause + SEIN + MANUAL_REVIEW	
in Fahrt	1322	in Fahrt	
in festen Händen sein	1323	in festen Händen	
in flagranti	1324	in flagranti	
in Flammen aufgehen	1325	in Flammen + \bauf(\b|zugehen|g) + _GEHEN	in Flammen + \bauf(\b|z|g) + _GEHEN
in Flammen stehen	1326	in Flammen + STEHEN	in Flammen + SEIN
in Frage kommen	1327	in Frage + KOMMEN	
in freier Wildbahn	1328	in freier Wildbahn	
in Furcht und Schrecken versetzen	1329	Furcht und Schrecken + versetz	
in Gottes Namen	1330	in Gottes Namen	
in guten Händen sein	1331	in guten Händen	in sicheren Händen
in Hülle und Fülle	1332	in Hülle und Fülle	
in jemandem seinen Meister finden	1333	SEINMA Meister + FINDEN	
in jemandes Namen	1334	in SEINMND Namen	
in Kauf nehmen	1335	in Kauf + NEHMEN + MANUAL_REVIEW	
in Kraft treten	1336	in Kraft + TRETEN	in Kraft + SEIN
in Lohn und Brot sein	1337	in Lohn und Brot	
in Lohn und Brot stehen	1338	in Lohn und Brot	
in Minne	1339	in Minne	
in Morpheus’ Armen	1340	in Morpheus + Armen	
in Morpheus’ Armen ruhen	1341	in Morpheus + Armen + RUHEN	
in natura	1342	in natura	
in Not und Tod	1343	in Not und Tod	
in null Komma nichts	1344	in null Komma nichts	
in Rauch und Flammen aufgehen	1345	in Rauch und Flammen + \bauf(\b|z|g) + _GEHEN	
in rauen Mengen	1346	in rauen Mengen	
in Reih und Glied	1347	in Reih und Glied	
in Sack und Asche gehen	1348	in Sack und Asche + GEHEN	
in Saus und Braus leben	1349	in Saus und Braus + LEBEN	
in Schach halten	1350	in Schach + HALTEN	
in See gehen	1351	in See + GEHEN	
in See stechen	1352	in See + STECHEN	
in See stoßen	1353	in See + STOẞEN	
in sicheren Händen sein	1354	in sicheren Händen	
in sieben Sprachen schweigen	1355	in sieben Sprachen + SCHWEIGEN	
in Stein gemeißelt sein	1356	in Stein gemeißelt + SEIN	
in Strömen regnen	1357	in Strömen + regn	
in Teufels Küche kommen	1358	in Teufels Küche + KOMMEN	
in trockenen Tüchern	1359	in trockenen Tüchern	
in vollem Gange sein	1360	in vollem Gange + SEIN	
in vorauseilendem Gehorsam	1361	in vorauseilendem Gehorsam	
in Wind und Wetter	1362	in Wind und Wetter	
in Windeseile	1363	in Windeseile	
in Zungen sprechen	1364	in Zungen + SPRECHEN	
in Züchten	1365	in Züchten	
innere Stimme	1366	innere Stimme	
ins Auge gehen	1367	ins Auge + GEHEN	
ins Blaue	1368	ins Blaue	
ins Bockshorn jagen	1369	ins Bockshorn + jag	
ins Fettnäpfchen treten	1370	ins Fettnäpfchen + TRETEN	
ins Gedränge geraten	1371	ins Gedränge + GERATEN	
ins Gedränge kommen	1372	ins Gedränge + KOMMEN	
ins Gewicht fallen	1373	ins Gewicht + FALLEN	
ins gleiche Horn blasen	1374	ins gleiche Horn + BLASEN	
ins gleiche Horn stoßen	1375	ins gleiche Horn + STOẞEN	
ins gleiche Horn tuten	1376	ins gleiche Horn + TUTEN	
ins Gras beißen	1377	ins Gras + BEIẞEN	
ins Hintertreffen geraten	1378	ins Hintertreffen + GERATEN	
ins kalte Wasser springen	1379	ins kalte Wasser + SPRINGEN	
ins Klo greifen	1380	ins Klo + GREIFEN	
ins Kraut schießen	1381	ins Kraut + SCHIEẞEN	
ins Lot kommen	1382	ins Lot + KOMMEN	
ins Ohr gehen	1383	ins Ohr + GEHEN	
ins rechte Licht rücken	1384	ins rechte Licht + rück	
ins Reich der Fabel gehören	1385	ins Reich der Fabel + gehör	
ins Reine schreiben	1386	ins Reine + SCHREIBEN	
ins Schwarze treffen	1387	ins Schwarze + TREFFEN	
ins Stocken geraten	1388	ins Stocken + GERATEN	
ins Wasser fallen	1389	ins Wasser + FALLEN + MANUAL_REVIEW	
ins Wasser gehen	1390	ins Wasser + GEHEN + MANUAL_REVIEW	
Ironie des Schicksals	1391	Ironie des Schicksals	
Irren ist menschlich	1392	Irren ist menschlich	
Jacke wie Hose sein	1393	Jacke wie Hose	
jahraus, jahrein	1394	jahraus, jahrein	
je oller, je doller	1395	je oller, je doller	
jede Menge	1396	jede Menge	
jedem das Seine	1397	jedem das Seine	
jedem Tierchen sein Pläsierchen	1398	jedem Tierchen SEINNA Pläsierchen	
jeden Pfennig dreimal umdrehen	1399	Pfennig + dreimal + \bum(\b|d|z|g) + dreh	
jeden Pfennig dreimal umdrehen müssen	1400	Pfennig + dreimal + umdrehen + MÜSSEN	
jeden Pfennig zweimal umdrehen	1401	Pfennig + zweimal + \bum(\b|d|z|g) + dreh	
jeden Pfennig zweimal umdrehen müssen	1402	Pfennig + zweimal + umdrehen + MÜSSEN	
jeder hat sein Bündel zu tragen	1403	SEINNA Bündel zu tragen	
jedes Wort auf die Goldwaage legen	1404	Wort + auf die Goldwaage + LEGEN	
jedes Wort auf die Goldwage legen	1405	Wort + auf die Goldwage + LEGEN	
jemand bekommt Wasser auf die Mühle	1406	Wasser auf die Mühle + BEKOMMEN	
jemand hat einen Zahn drauf	1407	einen Zahn drauf + HABEN	
jemandem alles aus der Nase ziehen müssen	1408	alles aus der Nase + ZIEHEN	
jemandem am Arsch vorbeigehen	1409	am Arsch + \bvorbei(\b|z|g) + _GEHEN	
jemandem am Herzen liegen	1410	am Herzen + LIEGEN	
jemandem an die Wäsche gehen	1411	an die Wäsche + GEHEN	
jemandem ans Bein pissen	1412	ans Bein + piss	
jemandem ans Herz gewachsen sein	1413	ans Herz + gewachsen + SEIN	
jemandem auf den Geist gehen	1414	auf den Geist + GEHEN	
jemandem auf den Keks gehen	1415	auf den Keks + GEHEN	
jemandem auf den Nägeln brennen	1416	auf den Nägeln + BRENNEN	
jemandem auf den Senkel gehen	1417	auf den Senkel + GEHEN	
jemandem auf den Wecker fallen	1418	auf den Wecker + FALLEN	
jemandem auf den Wecker gehen	1419	auf den Wecker + GEHEN	
jemandem auf den Zahn fühlen	1420	auf den Zahn + FÜHLEN	
jemandem auf der Nase herumtanzen	1421	auf der Nase + \bherum(\b|tanz|zutanzen|getanzt) + tanz	auf der Nase + \bherum(\b|t|z|g) + tanz
jemandem auf der Tasche liegen	1422	auf der Tasche + LIEGEN	
jemandem auf der Zunge liegen	1423	auf der Zunge + LIEGEN	
jemandem auf die Finger klopfen	1424	auf die Finger + klopf	
jemandem auf die Füße treten	1425	auf die Füße + TRETEN	
jemandem auf die Hühneraugen treten	1426	auf die Hühneraugen + TRETEN	
jemandem auf die Schliche kommen	1427	auf die Schliche + KOMMEN	
jemandem auf die Schulter klopfen	1428	auf die Schulter + klopf	
jemandem auf die Sprünge helfen	1429	auf die Sprünge + HELFEN	
jemandem aufs Dach steigen	1430	aufs Dach + STEIGEN	
jemandem aus der Hand fressen	1431	aus der Hand + FRESSEN	
jemandem aus der Patsche helfen	1432	aus der Patsche + HELFEN	aus der Klemme + HELFEN
jemandem Avancen machen	1433	Avancen + MACHEN	
jemandem Bescheid geben	1434	Bescheid + GEBEN	
jemandem bleibt der Bissen im Hals stecken	1435	der Bissen +  im Hals	
jemandem bleibt die Sprache weg	1436	die Sprache + \bweg(\b|b|z|g) + _BLEIBEN	
jemandem bleibt die Spucke weg	1437	die Spucke + \bweg(\b|b|z|g) + _BLEIBEN	
jemandem Brief und Siegel geben	1438	Brief und Siegel + GEBEN	
jemandem böhmische Dörfer sein	1439	böhmische Dörfer + SEIN	
jemandem Dampf machen	1440	Dampf + MACHEN	
jemandem das Fell gerben	1441	das Fell + gerb	
jemandem das Fell über die Ohren ziehen	1442	das Fell + über die Ohren + ZIEHEN	
jemandem das Gas abdrehen	1443	das Gas + \bab(\b|d|z|g) + dreh	
jemandem das Hackl ins Kreuz hauen	1444	das Hackl ins Kreuz + HAUEN	
jemandem das Hackl ins Kreuz werfen	1445	das Hackl ins Kreuz + WERFEN	
jemandem das Handwerk legen	1446	das Handwerk + LEGEN	
jemandem das Herz abdrücken	1447	das Herz + \bab(\b|d|z|g) + drück	
jemandem das Herz brechen	1448	das Herz + BRECHEN + MANUAL_REVIEW	
jemandem das Kraut ausschütten	1449	das Kraut + \baus(\b|s|z|g) + schütte	
jemandem das letzte Geleit geben	1450	das letzte Geleit + GEBEN	
jemandem das Ohr abkauen	1451	das Ohr + \bab(\b|k|z|g) + KAUEN	
jemandem das Salz in der Suppe nicht gönnen	1452	das Salz in der Suppe + nicht + gönn	
jemandem das Wasser abgraben	1453	das Wasser + \bab(\b|zugraben|g) + _GRABEN	das Wasser + \bab(\b|z|g) + _GRABEN
jemandem den Buckel runterrutschen	1454	den Buckel + \brunter(\b|r|z|g) + rutsch	
jemandem den Garaus machen	1455	den Garaus + MACHEN	
jemandem den Geldhahn abdrehen	1456	den Geldhahn + \bab(\b|d|z|g) + dreh	
jemandem den Hals abdrehen	1457	den Hals + \bab(\b|d|z|g) + dreh	
jemandem den Hof machen	1458	den Hof + MACHEN	
jemandem den Kopf verdrehen	1459	den Kopf + verdreh	
jemandem den Laufpass geben	1460	den Laufpass + GEBEN	den Laufpass + BEKOMMEN
jemandem den Leviten lesen	1461	den Leviten + LESEN	
jemandem den Marsch blasen	1462	den Marsch + BLASEN	
jemandem den Mund verbieten	1463	den Mund + VERBIETEN	
jemandem den Rücken freihalten	1464	den Rücken + \bfrei(\b|h|z|g) + _HALTEN	
jemandem den Rücken stärken	1465	den Rücken + stärk	
jemandem den Schwarzen Peter zuschieben	1466	den Schwarzen Peter + \bzu(\b|sch|zuschieben|geschoben) + _SCHIEBEN	den Schwarzen Peter + \bzu(\b|s|z|g) + _SCHIEBEN
jemandem den Schwarzen Peter zuspielen	1467	den Schwarzen Peter + \bzu(\b|s|z|g) + spiel	
jemandem den Vogel zeigen	1468	den Vogel + ZEIGEN	
jemandem den Wind aus den Segeln nehmen	1469	den Wind aus den Segeln + NEHMEN	
jemandem den Zahn ziehen	1470	den Zahn + ZIEHEN	
jemandem die Butter vom Brot nehmen	1471	die Butter + vom Brot + NEHMEN	
jemandem die Daumen drücken	1472	die Daumen + drück	
jemandem die Flötentöne beibringen	1473	die Flötentöne + \bbei(\b|b|z|g) + _BRINGEN	
jemandem die Fresse polieren	1474	die Fresse + polier	
jemandem die Füße küssen	1475	die Füße + küss	
jemandem die Gurgel abdrehen	1476	die Gurgel + \bab(\b|d|z|g) + dreh	
jemandem die Hammelbeine lang ziehen	1477	die Hammelbeine + lang + ZIEHEN	
jemandem die Hammelbeine langziehen	1478	Hammelbeine + \blang(\b|z|z|g) + _ZIEHEN	
jemandem die Hörner aufsetzen	1479	die Hörner + \bauf(\b|s|z|g) + _SETZEN	
jemandem die Hörner zeigen	1480	die Hörner + ZEIGEN	
jemandem die kalte Schulter zeigen	1481	die kalte Schulter	die kalte Schulter + ZEIGEN
jemandem die Laune verhageln	1482	die Laune + verhag(el|le)	
jemandem die Leviten lesen	1483	die Leviten + LESEN	
jemandem die Luft abdrehen	1484	die Luft + \bab(\b|d|z|g) + dreh	
jemandem die Luft abdrücken	1485	die Luft + \bab(\b|d|z|g) + drück	
jemandem die Löffel langziehen	1486	die Löffel + \blang(\b|z|z|g) + _ZIEHEN	
jemandem die Ohren abkauen	1487	die Ohren + \bab(\b|k|z|g) + KAUEN	
jemandem die Ohren langziehen	1488	die Ohren + \blang(\b|z|z|g) + _ZIEHEN	
jemandem die Pistole auf die Brust setzen	1489	die Pistole + auf die Brust + SETZEN	
jemandem die Schuld in die Schuhe schieben	1490	die Schuld + in die Schuhe + SCHIEBEN	
jemandem die Sprache rauben	1491	die Sprache + raub	
jemandem die Sprache verschlagen	1492	die Sprache + VERSCHLAGEN	
jemandem die Stange halten	1493	die Stange + HALTEN	
jemandem die Stiefel lecken	1494	die Stiefel + LECKEN	
jemandem die Suppe versalzen	1495	die Suppe + versalz	
jemandem die Worte in den Mund legen	1496	die Worte + in den Mund + LEGEN	
jemandem die Zeit stehlen	1497	die Zeit + STEHLEN + MANUAL_REVIEW	
jemandem die Zunge lösen	1498	die Zunge + LÖSEN	
jemandem diesen Zahn ziehen	1499	diesen Zahn + ZIEHEN	
jemandem dreht sich alles im Kreis	1500	SICH + alles im Kreis + dreh	
jemandem durch die Finger schlüpfen	1501	durch die Finger + schlüpf	
jemandem durch die Lappen gehen	1502	durch die Lappen + GEHEN	
jemandem ein Buch mit sieben Siegeln sein	1503	ein Buch + mit sieben Siegeln + SEIN	
jemandem ein Dorn im Auge sein	1504	ein Dorn im Auge	
jemandem ein Kuckucksei ins Nest legen	1505	ein Kuckucksei + ins Nest + LEGEN	
jemandem ein Ohr abkauen	1506	ein Ohr + \bab(\b|k|z|g) + KAUEN	
jemandem ein Ohr abreden	1507	ein Ohr + \bab(\b|r|z|g) + _REDEN	
jemandem ein paar scheuern	1508	ein paar + scheuer + MANUAL_REVIEW	
jemandem ein Schnippchen schlagen	1509	ein Schippchen + SCHLAGEN	
jemandem ein X für ein U vormachen	1510	ein X + für ein U \bvor(\b|m|z|g) + _MACHEN	
jemandem eine Abfuhr erteilen	1511	eine Abfuhr + \berteil	
jemandem eine auflegen	1512	eine + \bauf(\b|leg|zulegen|gelegt) + _LEGEN + MANUAL_REVIEW	eine + \bauf(\b|l|z|g) + _LEGEN + MANUAL_REVIEW
jemandem eine kleben	1513	eine + kleb + MANUAL_REVIEW	
jemandem eine scheuern	1514	eine + scheuer + MANUAL_REVIEW	
jemandem einen Bären aufbinden	1515	einen Bären + \bauf(\b|b|z|g) + _BINDEN	
jemandem einen Bärendienst erweisen	1516	einen Bärendienst + ERWEISEN	
jemandem einen Denkzettel geben	1517	einen Denkzettel + GEBEN	
jemandem einen Denkzettel verpassen	1518	einen Denkzettel + verpass	
jemandem einen Floh ins Ohr setzen	1519	einen Floh ins Ohr + SETZEN	
jemandem einen Korb geben	1520	einen Korb + GEBEN	
jemandem einen Lichasdienst erweisen	1521	einen Lichasdienst + ERWEISEN	
jemandem einen Maulkorb verpassen	1522	einen Maulkorb + verpass	
jemandem einen Strich durch die Rechnung machen	1523	einen Strich + durch die Rechnung	
jemandem einen Strick aus etwas drehen	1524	einen Strick + aus + dreh	
jemandem einen Vogel zeigen	1525	einen Vogel + ZEIGEN	
jemandem eins auswischen	1526	eins + \baus(\b|wisch|zuwischen|gewischt) + wisch	eins + \baus(\b|w|z|g) + wisch
jemandem etwas aufs Auge drücken	1527	aufs Auge + drück	
jemandem etwas aus der Nase ziehen	1528	aus der Nase + ZIEHEN	
jemandem etwas hoch anrechnen	1529	hoch + \ban(\b|rechn|zurechnen|gerechnet) + rechn	hoch + \ban(\b|r|z|g) + rechn
jemandem etwas in die Schuhe schieben	1530	in die Schuhe + SCHIEBEN	
jemandem etwas mit gleicher Münze heimzahlen	1531	Münze + gleich + zahl	
jemandem fehlen die Worte	1532	die Worte + fehl	
jemandem Feuer unterm Arsch machen	1533	Feuer (unterm|unter dem) Arsch + MACHEN	
jemandem Feuer unterm Hintern machen	1534	Feuer (unterm|unter dem) Hintern + MACHEN	
jemandem Flötentöne beibringen	1535	Flötentöne + \bbei(\b|b|z|g) + _BRINGEN	
jemandem fällt das Monokel in den Kakao	1536	das Monokel + in den Kakao + FALLEN	
jemandem fällt die Decke auf den Kopf	1537	die Decken auf den Kopf + FALLEN	
jemandem fällt ein Stein vom Herzen	1538	ein Stein + vom Herzen + FALLEN	
jemandem gegen den Strich gehen	1539	gegen den Strich + GEHEN	
jemandem geht das Messer im Sack auf	1540	das Messer + im Sack + \bauf(\b|g|z) + _GEHEN	
jemandem geht das Messer in der Hose auf	1541	das Messer + in der Hose + \bauf(\b|g|z) + _GEHEN	
jemandem geht das Messer in der Tasche auf	1542	das Messer + in der Tasche + \bauf(g|\b) + _GEHEN	
jemandem geht der Arsch auf Grundeis	1543	der Arsch auf Grundeis + GEHEN	
jemandem geht der Hut hoch	1544	der Hut + \bhoch(\b|z|g) + _GEHEN	
jemandem geht einer ab	1545	einer + \bab(\b|zugehen|g) + _GEHEN	einer + \bab(\b|z|g) + _GEHEN
jemandem Glauben schenken	1546	Glauben + schenk	
jemandem gleich sein	1547	gleich + SEIN + MANUAL_REVIEW	
jemandem Honig um den Bart schmieren	1548	Honig um den Bart + schmier	
jemandem Honig um den Mund schmieren	1549	Honig um den Mund + schmier	
jemandem Honig ums Maul schmieren	1550	Honig ums Maul + schmier	Honig um den (Bart|Mund) + schmier
jemandem hängt der Magen in den Kniekehlen	1551	der Magen + in den Kniekehlen	
jemandem hängt die Zunge zum Hals heraus	1552	die Zunge + zum Hals + \bheraus(\b|h|z|g) + häng	
jemandem Hörner aufsetzen	1553	Hörner + \bauf(\b|s|z|g) + _SETZEN	
jemandem im Nacken sitzen	1554	im Hacken + SITZEN	
jemandem in den Kram passen	1555	in den Kram + pass	
jemandem in den Schoß fallen	1556	in den Schoß + FALLEN	
jemandem in den Suppentopf fallen	1557	in den Suppentopf + FALLEN	
jemandem in die Glieder fahren	1558	in die Glieder + FAHREN	
